,N,M,Method,Error,Computation Time
171,8,1,Scipy,0.0,0.0009970664978027344
172,8,2,Arnoldi,0.0005351310784092281,0.0011967182159423827
173,8,3,Lanzcos,9.077254607258683e-07,0.0016954421997070312
174,8,4,Scipy,0.0,0.0009970664978027344
175,8,5,Arnoldi,4.1185384577266977e-10,0.0019946575164794924
176,8,6,Lanzcos,1.2203524065762437e-14,0.001894974708557129
177,8,7,Scipy,0.0,0.0009970664978027344
178,8,8,Arnoldi,3.0562657329293357e-16,0.001795339584350586
179,8,9,Lanzcos,,
180,8,10,Scipy,,
181,8,20,Arnoldi,,
182,8,30,Lanzcos,,
183,8,40,Scipy,,
184,8,50,Arnoldi,,
185,8,60,Lanzcos,,
186,8,70,Scipy,,
187,8,80,Arnoldi,,
188,8,90,Lanzcos,,
189,8,100,Scipy,,
190,8,1,Arnoldi,0.028858078465264884,0.0009974002838134765
191,8,2,Lanzcos,0.00016858195279167762,0.001595783233642578
192,8,3,Scipy,0.0,0.0009970664978027344
193,8,4,Arnoldi,5.328198160178992e-08,0.0014960050582885742
194,8,5,Lanzcos,5.252374917203889e-12,0.0016953229904174804
195,8,6,Scipy,0.0,0.0009970664978027344
196,8,7,Arnoldi,1.0092713613933491e-14,0.0015955209732055665
197,8,8,Lanzcos,1.7802692113082912e-16,0.0018947839736938477
198,8,9,Scipy,,
199,8,10,Arnoldi,,
200,8,20,Lanzcos,,
201,8,30,Scipy,,
202,8,40,Arnoldi,,
203,8,50,Lanzcos,,
204,8,60,Scipy,,
205,8,70,Arnoldi,,
206,8,80,Lanzcos,,
207,8,90,Scipy,,
208,8,100,Arnoldi,,
209,8,1,Lanzcos,0.0217617455628619,0.0009974002838134765
210,8,2,Scipy,0.0,0.0009970664978027344
211,8,3,Arnoldi,6.1952730711793084e-06,0.0014959335327148437
212,8,4,Lanzcos,2.532505797073619e-09,0.001595783233642578
213,8,5,Scipy,0.0,0.0009970664978027344
214,8,6,Arnoldi,2.3213740623512482e-12,0.001595783233642578
215,8,7,Lanzcos,2.0796433423461312e-16,0.0018949270248413085
216,8,8,Scipy,0.0,0.0009970664978027344
217,8,9,Arnoldi,,
218,8,10,Lanzcos,,
219,8,20,Scipy,,
220,8,30,Arnoldi,,
221,8,40,Lanzcos,,
222,8,50,Scipy,,
223,8,60,Arnoldi,,
224,8,70,Lanzcos,,
225,8,80,Scipy,,
226,8,90,Arnoldi,,
227,8,100,Lanzcos,,
228,16,1,Scipy,0.0,0.0
229,16,2,Arnoldi,6.602482201031053e-05,0.0011968374252319335
230,16,3,Lanzcos,2.050966835521627e-08,0.0015957117080688476
231,16,4,Scipy,0.0,0.0
232,16,5,Arnoldi,5.58486354433068e-13,0.0014960050582885742
233,16,6,Lanzcos,3.66186936383538e-16,0.0016954421997070312
234,16,7,Scipy,0.0,0.0
235,16,8,Arnoldi,5.133374763649968e-16,0.0016954660415649414
236,16,9,Lanzcos,3.7859917605697454e-16,0.001992201805114746
237,16,10,Scipy,0.0,0.0
238,16,20,Arnoldi,,
239,16,30,Lanzcos,,
240,16,40,Scipy,,
241,16,50,Arnoldi,,
242,16,60,Lanzcos,,
243,16,70,Scipy,,
244,16,80,Arnoldi,,
245,16,90,Lanzcos,,
246,16,100,Scipy,,
247,16,1,Arnoldi,0.010845849452204888,0.001000213623046875
248,16,2,Lanzcos,1.8104487643329787e-05,0.0012964963912963866
249,16,3,Scipy,0.0,0.0
250,16,4,Arnoldi,3.337931527876195e-10,0.0014961957931518555
251,16,5,Lanzcos,1.3445506731833709e-14,0.0031943559646606446
252,16,6,Scipy,0.0,0.0
253,16,7,Arnoldi,5.133374763649968e-16,0.0026927947998046874
254,16,8,Lanzcos,3.7859917605697454e-16,0.0040890216827392575
255,16,9,Scipy,0.0,0.0
256,16,10,Arnoldi,5.133374763649968e-16,0.00249333381652832
257,16,20,Lanzcos,,
258,16,30,Scipy,,
259,16,40,Arnoldi,,
260,16,50,Lanzcos,,
261,16,60,Scipy,,
262,16,70,Arnoldi,,
263,16,80,Lanzcos,,
264,16,90,Scipy,,
265,16,100,Arnoldi,,
266,16,1,Lanzcos,0.009382293992510475,0.001296401023864746
267,16,2,Scipy,0.0,0.0
268,16,3,Arnoldi,1.8109457751197977e-07,0.0016954421997070312
269,16,4,Lanzcos,1.7689404144451433e-11,0.001994490623474121
270,16,5,Scipy,0.0,0.0
271,16,6,Arnoldi,9.992248152537807e-16,0.0019946575164794924
272,16,7,Lanzcos,3.6612118776349394e-16,0.0022938728332519533
273,16,8,Scipy,0.0,0.0
274,16,9,Arnoldi,5.133374763649968e-16,0.0021941661834716797
275,16,10,Lanzcos,3.7341307954279774e-16,0.0023936033248901367
276,16,20,Scipy,,
277,16,30,Arnoldi,,
278,16,40,Lanzcos,,
279,16,50,Scipy,,
280,16,60,Arnoldi,,
281,16,70,Lanzcos,,
282,16,80,Scipy,,
283,16,90,Arnoldi,,
284,16,100,Lanzcos,,
285,32,1,Scipy,0.0,0.0009968280792236328
286,32,2,Arnoldi,6.1208452100762484e-06,0.0012964725494384766
287,32,3,Lanzcos,3.8500889864930035e-10,0.001894831657409668
288,32,4,Scipy,0.0,0.0009968280792236328
289,32,5,Arnoldi,9.61306057177216e-16,0.0017952203750610351
290,32,6,Lanzcos,6.485917422406657e-16,0.0022939443588256836
291,32,7,Scipy,0.0,0.0009968280792236328
