,N,M,Method,Error,Computation Time
574,1024,5,Arnoldi,2.4204975681299916e-15,0.002094531059265137
575,1024,6,Lanzcos,4.61626126769825e-15,0.0017971038818359376
576,1024,7,Scipy,0.0,0.000997781753540039
577,1024,8,Arnoldi,2.4204975681299916e-15,0.0022939205169677734
578,1024,9,Lanzcos,2.2999069238719712e-15,0.0022960662841796874
579,1024,10,Scipy,0.0,0.000997781753540039
580,1024,20,Arnoldi,2.4204975681299916e-15,0.005385470390319824
581,1024,30,Lanzcos,2.2999069238719712e-15,0.0044909238815307615
582,1024,40,Scipy,0.0,0.000997781753540039
583,1024,50,Arnoldi,2.4204975681299916e-15,0.021045947074890138
584,1024,60,Lanzcos,2.2999069238719712e-15,0.007880306243896485
585,1024,70,Scipy,0.0,0.000997781753540039
586,1024,80,Arnoldi,2.4204975681299916e-15,0.048970937728881836
587,1024,90,Lanzcos,2.2999069238719712e-15,0.011870813369750977
588,1024,100,Scipy,0.0,0.000997781753540039
589,1024,1,Arnoldi,2.152734419340319e-05,0.000897669792175293
590,1024,2,Lanzcos,7.33612550173787e-12,0.0014959335327148437
591,1024,3,Scipy,0.0,0.000997781753540039
592,1024,4,Arnoldi,2.4204975681299916e-15,0.0016954183578491212
593,1024,5,Lanzcos,2.2999069238719712e-15,0.0020943641662597655
594,1024,6,Scipy,0.0,0.000997781753540039
595,1024,7,Arnoldi,2.4204975681299916e-15,0.0019946575164794924
596,1024,8,Lanzcos,2.2999069238719712e-15,0.0021940946578979494
597,1024,9,Scipy,0.0,0.000997781753540039
598,1024,10,Arnoldi,2.4204975681299916e-15,0.002692770957946777
599,1024,20,Lanzcos,2.2999069238719712e-15,0.004288434982299805
600,1024,30,Scipy,0.0,0.000997781753540039
601,1024,40,Arnoldi,2.4204975681299916e-15,0.014860272407531738
602,1024,50,Lanzcos,4.509101441055505e-15,0.0064849853515625
603,1024,60,Scipy,0.0,0.000997781753540039
604,1024,70,Arnoldi,2.4204975681299916e-15,0.036699438095092775
605,1024,80,Lanzcos,2.2999069238719712e-15,0.009873604774475098
606,1024,90,Scipy,0.0,0.000997781753540039
607,1024,100,Arnoldi,2.4204975681299916e-15,0.06772172451019287
608,1024,1,Lanzcos,1.9597496212379507e-05,0.0007952451705932617
609,1024,2,Scipy,0.0,0.000997781753540039
610,1024,3,Arnoldi,2.4204987294202287e-15,0.0011966228485107422
611,1024,4,Lanzcos,2.2999069238719712e-15,0.0016978263854980468
612,1024,5,Scipy,0.0,0.000997781753540039
613,1024,6,Arnoldi,2.4204975681299916e-15,0.001698613166809082
614,1024,7,Lanzcos,2.2999069238719712e-15,0.001994681358337402
615,1024,8,Scipy,0.0,0.000997781753540039
616,1024,9,Arnoldi,2.4204975681299916e-15,0.0021943092346191407
617,1024,10,Lanzcos,2.2999069238719712e-15,0.002493119239807129
618,1024,20,Scipy,0.0,0.000997781753540039
619,1024,30,Arnoldi,2.4204975681299916e-15,0.00857701301574707
620,1024,40,Lanzcos,2.2999069238719712e-15,0.005585122108459473
621,1024,50,Scipy,0.0,0.000997781753540039
622,1024,60,Arnoldi,2.4204975681299916e-15,0.027227139472961424
623,1024,70,Lanzcos,4.509101441055505e-15,0.00827786922454834
624,1024,80,Scipy,0.0,0.000997781753540039
625,1024,90,Arnoldi,2.4204975681299916e-15,0.06502606868743896
626,1024,100,Lanzcos,2.2999069238719712e-15,0.015358972549438476
627,2048,1,Scipy,0.0,0.0009970664978027344
628,2048,2,Arnoldi,2.8961377922688155e-12,0.0012965679168701171
629,2048,3,Lanzcos,3.2634414801531114e-15,0.002792644500732422
630,2048,4,Scipy,0.0,0.0009970664978027344
631,2048,5,Arnoldi,3.4840668648896995e-15,0.002094268798828125
632,2048,6,Lanzcos,3.532643692108316e-15,0.003390979766845703
633,2048,7,Scipy,0.0,0.0009970664978027344
634,2048,8,Arnoldi,3.4840668648896995e-15,0.0026926517486572264
635,2048,9,Lanzcos,3.532643692108316e-15,0.0030918359756469727
636,2048,10,Scipy,0.0,0.0009970664978027344
637,2048,20,Arnoldi,3.4840668648896995e-15,0.008277654647827148
638,2048,30,Lanzcos,3.532643692108316e-15,0.0063829183578491214
639,2048,40,Scipy,0.0,0.0009970664978027344
640,2048,50,Arnoldi,3.4840668648896995e-15,0.03341054916381836
641,2048,60,Lanzcos,5.7783272066546475e-15,0.011668753623962403
642,2048,70,Scipy,0.0,0.0009970664978027344
643,2048,80,Arnoldi,3.4840668648896995e-15,0.08587031364440918
644,2048,90,Lanzcos,3.532643692108316e-15,0.015857577323913574
645,2048,100,Scipy,0.0,0.0009970664978027344
646,2048,1,Arnoldi,7.659944859823751e-06,0.0008975982666015625
647,2048,2,Lanzcos,6.589343284504598e-13,0.0013962745666503905
648,2048,3,Scipy,0.0,0.0009970664978027344
649,2048,4,Arnoldi,3.4840668648896995e-15,0.0017951488494873046
650,2048,5,Lanzcos,3.532643692108316e-15,0.0022938013076782226
651,2048,6,Scipy,0.0,0.0009970664978027344
652,2048,7,Arnoldi,3.4840668648896995e-15,0.0025930881500244142
653,2048,8,Lanzcos,3.532643692108316e-15,0.002393627166748047
654,2048,9,Scipy,0.0,0.0009970664978027344
655,2048,10,Arnoldi,3.4840668648896995e-15,0.0032912254333496093
656,2048,20,Lanzcos,3.532643692108316e-15,0.004188680648803711
657,2048,30,Scipy,0.0,0.0009970664978027344
658,2048,40,Arnoldi,3.4840668648896995e-15,0.022041058540344237
659,2048,50,Lanzcos,3.532643692108316e-15,0.008574676513671876
660,2048,60,Scipy,0.0,0.0009970664978027344
661,2048,70,Arnoldi,3.4840668648896995e-15,0.055950379371643065
662,2048,80,Lanzcos,3.532643692108316e-15,0.01406238079071045
663,2048,90,Scipy,0.0,0.0009970664978027344
664,2048,100,Arnoldi,3.4840668648896995e-15,0.10751237869262695
665,2048,1,Lanzcos,6.968529118387322e-06,0.0011970996856689453
666,2048,2,Scipy,0.0,0.0009970664978027344
667,2048,3,Arnoldi,3.4840668648896995e-15,0.001595783233642578
668,2048,4,Lanzcos,3.532643692108316e-15,0.0017951488494873046
669,2048,5,Scipy,0.0,0.0009970664978027344
670,2048,6,Arnoldi,3.4840668648896995e-15,0.0019945859909057616
671,2048,7,Lanzcos,3.532643692108316e-15,0.002194070816040039
672,2048,8,Scipy,0.0,0.0009970664978027344
673,2048,9,Arnoldi,3.4840668648896995e-15,0.002892303466796875
674,2048,10,Lanzcos,3.532643692108316e-15,0.002493405342102051
675,2048,20,Scipy,0.0,0.0009970664978027344
676,2048,30,Arnoldi,3.4840668648896995e-15,0.014261865615844726
677,2048,40,Lanzcos,3.532643692108316e-15,0.007280540466308594
678,2048,50,Scipy,0.0,0.0009970664978027344
679,2048,60,Arnoldi,3.4840668648896995e-15,0.04278554916381836
680,2048,70,Lanzcos,5.7783272066546475e-15,0.012264466285705567
681,2048,80,Scipy,0.0,0.0009970664978027344
682,2048,90,Arnoldi,3.4840668648896995e-15,0.0870671272277832
683,2048,100,Lanzcos,3.532643692108316e-15,0.01655569076538086
684,4096,1,Scipy,0.0,0.0009970664978027344
685,4096,2,Arnoldi,2.5524542789719553e-13,0.0012965202331542969
686,4096,3,Lanzcos,4.508593768842996e-15,0.0017952680587768554
687,4096,4,Scipy,0.0,0.0009970664978027344
688,4096,5,Arnoldi,5.8645993552232484e-15,0.002094531059265137
689,4096,6,Lanzcos,4.861696591721385e-15,0.0024933099746704103
690,4096,7,Scipy,0.0,0.0009970664978027344
691,4096,8,Arnoldi,5.8645993552232484e-15,0.003690147399902344
692,4096,9,Lanzcos,4.861696591721385e-15,0.0028922557830810547
693,4096,10,Scipy,0.0,0.0009970664978027344
694,4096,20,Arnoldi,5.8645993552232484e-15,0.012366938591003417
695,4096,30,Lanzcos,4.861696591721385e-15,0.00797865390777588
696,4096,40,Scipy,0.0,0.0009970664978027344
697,4096,50,Arnoldi,5.8645993552232484e-15,0.05026555061340332
698,4096,60,Lanzcos,4.861696591721385e-15,0.01545870304107666
699,4096,70,Scipy,0.0,0.0009970664978027344
700,4096,80,Arnoldi,5.8645993552232484e-15,0.12077701091766357
701,4096,90,Lanzcos,4.861696591721385e-15,0.024733781814575195
702,4096,100,Scipy,0.0,0.0009970664978027344
703,4096,1,Arnoldi,2.6939465523998017e-06,0.0009972572326660157
704,4096,2,Lanzcos,5.797406140668498e-14,0.0015958547592163086
705,4096,3,Scipy,0.0,0.0009970664978027344
706,4096,4,Arnoldi,5.8645993552232484e-15,0.002391409873962402
707,4096,5,Lanzcos,4.861696591721385e-15,0.0021941423416137694
708,4096,6,Scipy,0.0,0.0009970664978027344
709,4096,7,Arnoldi,5.8645993552232484e-15,0.0031914710998535156
710,4096,8,Lanzcos,4.861696591721385e-15,0.002892160415649414
711,4096,9,Scipy,0.0,0.0009970664978027344
712,4096,10,Arnoldi,5.8645993552232484e-15,0.005086302757263184
713,4096,20,Lanzcos,4.861696591721385e-15,0.0059861898422241214
714,4096,30,Scipy,0.0,0.0009970664978027344
715,4096,40,Arnoldi,5.8645993552232484e-15,0.03749771118164062
716,4096,50,Lanzcos,4.861696591721385e-15,0.017054414749145506
717,4096,60,Scipy,0.0,0.0009970664978027344
718,4096,70,Arnoldi,5.8645993552232484e-15,0.10870916843414306
719,4096,80,Lanzcos,4.861696591721385e-15,0.024434709548950197
720,4096,90,Scipy,0.0,0.0009970664978027344
721,4096,100,Arnoldi,5.8645993552232484e-15,0.1942803144454956
722,4096,1,Lanzcos,2.4512014244021255e-06,0.0011968612670898438
723,4096,2,Scipy,0.0,0.0009970664978027344
724,4096,3,Arnoldi,5.8645993552232484e-15,0.0016953229904174804
725,4096,4,Lanzcos,4.861696591721385e-15,0.0017951726913452148
726,4096,5,Scipy,0.0,0.0009970664978027344
727,4096,6,Arnoldi,5.8645993552232484e-15,0.0024932861328125
728,4096,7,Lanzcos,7.895813262738606e-15,0.002692699432373047
729,4096,8,Scipy,0.0,0.0009970664978027344
730,4096,9,Arnoldi,5.8645993552232484e-15,0.0035904407501220702
731,4096,10,Lanzcos,7.895813262738606e-15,0.0030916929244995117
732,4096,20,Scipy,0.0,0.0009970664978027344
733,4096,30,Arnoldi,5.8645993552232484e-15,0.0268280029296875
734,4096,40,Lanzcos,7.895813262738606e-15,0.010571861267089843
735,4096,50,Scipy,0.0,0.0009970664978027344
736,4096,60,Arnoldi,5.8645993552232484e-15,0.0739027738571167
737,4096,70,Lanzcos,7.895813262738606e-15,0.018650174140930176
738,4096,80,Scipy,0.0,0.0009970664978027344
739,4096,90,Arnoldi,5.8645993552232484e-15,0.1487053632736206
740,4096,100,Lanzcos,7.895813262738606e-15,0.030318856239318848
741,8192,1,Scipy,0.0,0.0019960403442382812
742,8192,2,Arnoldi,2.3506111284746852e-14,0.0017952442169189454
743,8192,3,Lanzcos,6.512875771259824e-15,0.002692723274230957
744,8192,4,Scipy,0.0,0.0019960403442382812
745,8192,5,Arnoldi,6.786189345780481e-15,0.004388165473937988
746,8192,6,Lanzcos,1.1724121174137958e-14,0.003091740608215332
747,8192,7,Scipy,0.0,0.0019960403442382812
748,8192,8,Arnoldi,6.786189345780481e-15,0.0060837030410766605
749,8192,9,Lanzcos,6.9682678706872875e-15,0.005983996391296387
750,8192,10,Scipy,0.0,0.0019960403442382812
751,8192,20,Arnoldi,6.786189345780481e-15,0.021941304206848145
752,8192,30,Lanzcos,6.9682678706872875e-15,0.020545148849487306
753,8192,40,Scipy,0.0,0.0019960403442382812
754,8192,50,Arnoldi,6.786189345780481e-15,0.09604313373565673
755,8192,60,Lanzcos,6.9682678706872875e-15,0.03231353759765625
756,8192,70,Scipy,0.0,0.0019960403442382812
757,8192,80,Arnoldi,6.786189345780481e-15,0.243448805809021
758,8192,90,Lanzcos,6.9682678706872875e-15,0.04418179988861084
759,8192,100,Scipy,0.0,0.0019960403442382812
760,8192,1,Arnoldi,9.509233750653616e-07,0.0009999275207519531
761,8192,2,Lanzcos,8.022765876925094e-15,0.001497936248779297
762,8192,3,Scipy,0.0,0.0019960403442382812
763,8192,4,Arnoldi,6.786189345780481e-15,0.0037875652313232424
764,8192,5,Lanzcos,6.9682678706872875e-15,0.004587650299072266
765,8192,6,Scipy,0.0,0.0019960403442382812
766,8192,7,Arnoldi,6.786189345780481e-15,0.006283187866210937
767,8192,8,Lanzcos,1.1724121174137958e-14,0.0036900997161865234
768,8192,9,Scipy,0.0,0.0019960403442382812
769,8192,10,Arnoldi,6.786189345780481e-15,0.00827794075012207
770,8192,20,Lanzcos,6.9682678706872875e-15,0.012369322776794433
771,8192,30,Scipy,0.0,0.0019960403442382812
772,8192,40,Arnoldi,6.786189345780481e-15,0.0704115629196167
773,8192,50,Lanzcos,6.9682678706872875e-15,0.02343733310699463
774,8192,60,Scipy,0.0,0.0019960403442382812
775,8192,70,Arnoldi,6.786189345780481e-15,0.1853015422821045
776,8192,80,Lanzcos,6.9682678706872875e-15,0.04218723773956299
777,8192,90,Scipy,0.0,0.0019960403442382812
778,8192,100,Arnoldi,6.786189345780481e-15,0.37898643016815187
779,8192,1,Lanzcos,8.668198987423313e-07,0.003291201591491699
780,8192,2,Scipy,0.0,0.0019960403442382812
781,8192,3,Arnoldi,6.786189345780481e-15,0.003091740608215332
782,8192,4,Lanzcos,6.9682678706872875e-15,0.003390979766845703
783,8192,5,Scipy,0.0,0.0019960403442382812
784,8192,6,Arnoldi,6.786189345780481e-15,0.005186152458190918
785,8192,7,Lanzcos,1.1724121174137958e-14,0.003989481925964355
786,8192,8,Scipy,0.0,0.0019960403442382812
787,8192,9,Arnoldi,6.786189345780481e-15,0.011967968940734864
788,8192,10,Lanzcos,6.9682678706872875e-15,0.010073041915893555
789,8192,20,Scipy,0.0,0.0019960403442382812
790,8192,30,Arnoldi,6.786189345780481e-15,0.049866652488708495
791,8192,40,Lanzcos,6.9682678706872875e-15,0.025531792640686037
792,8192,50,Scipy,0.0,0.0019960403442382812
793,8192,60,Arnoldi,6.786189345780481e-15,0.13553743362426757
794,8192,70,Lanzcos,6.9682678706872875e-15,0.03620316982269287
795,8192,80,Scipy,0.0,0.0019960403442382812
796,8192,90,Arnoldi,6.786189345780481e-15,0.2979051828384399
797,8192,100,Lanzcos,6.9682678706872875e-15,0.04787192344665527
798,16384,1,Scipy,0.0,0.003988981246948242
799,16384,2,Arnoldi,7.999104478935077e-15,0.002590584754943848
800,16384,3,Lanzcos,7.194255695635685e-15,0.0035929441452026366
801,16384,4,Scipy,0.0,0.003988981246948242
802,16384,5,Arnoldi,7.817733491935134e-15,0.007081151008605957
803,16384,6,Lanzcos,7.936780291870546e-15,0.006482696533203125
804,16384,7,Scipy,0.0,0.003988981246948242
805,16384,8,Arnoldi,7.817733491935134e-15,0.011269903182983399
806,16384,9,Lanzcos,7.936780291870546e-15,0.008975958824157715
807,16384,10,Scipy,0.0,0.003988981246948242
808,16384,20,Arnoldi,7.817733491935134e-15,0.04448096752166748
809,16384,30,Lanzcos,7.936780291870546e-15,0.03729989528656006
810,16384,40,Scipy,0.0,0.003988981246948242
811,16384,50,Arnoldi,7.817733491935134e-15,0.21532316207885743
812,16384,60,Lanzcos,7.936780291870546e-15,0.07928800582885742
813,16384,70,Scipy,0.0,0.003988981246948242
814,16384,80,Arnoldi,7.817733491935134e-15,0.5222031593322753
815,16384,90,Lanzcos,7.936780291870546e-15,0.11818995475769042
816,16384,100,Scipy,0.0,0.003988981246948242
817,16384,1,Arnoldi,3.374256384163888e-07,0.0016954421997070312
818,16384,2,Lanzcos,7.196333747341559e-15,0.002390623092651367
819,16384,3,Scipy,0.0,0.003988981246948242
820,16384,4,Arnoldi,7.817733491935134e-15,0.00578458309173584
821,16384,5,Lanzcos,7.936780291870546e-15,0.005494213104248047
822,16384,6,Scipy,0.0,0.003988981246948242
823,16384,7,Arnoldi,7.817733491935134e-15,0.010273933410644531
824,16384,8,Lanzcos,7.936780291870546e-15,0.008080792427062989
825,16384,9,Scipy,0.0,0.003988981246948242
826,16384,10,Arnoldi,7.817733491935134e-15,0.016165947914123534
827,16384,20,Lanzcos,7.936780291870546e-15,0.019945597648620604
828,16384,30,Scipy,0.0,0.003988981246948242
829,16384,40,Arnoldi,7.817733491935134e-15,0.14022910594940186
830,16384,50,Lanzcos,7.936780291870546e-15,0.05606856346130371
831,16384,60,Scipy,0.0,0.003988981246948242
832,16384,70,Arnoldi,7.817733491935134e-15,0.3785898208618164
833,16384,80,Lanzcos,7.936780291870546e-15,0.09364795684814453
834,16384,90,Scipy,0.0,0.003988981246948242
835,16384,100,Arnoldi,7.817733491935134e-15,0.7502924919128418
836,16384,1,Lanzcos,3.077094133798463e-07,0.0015959978103637696
837,16384,2,Scipy,0.0,0.003988981246948242
838,16384,3,Arnoldi,7.817733491935134e-15,0.004591178894042969
839,16384,4,Lanzcos,7.936780291870546e-15,0.004589891433715821
840,16384,5,Scipy,0.0,0.003988981246948242
841,16384,6,Arnoldi,7.817733491935134e-15,0.008780288696289062
842,16384,7,Lanzcos,7.936780291870546e-15,0.0067825794219970705
843,16384,8,Scipy,0.0,0.003988981246948242
844,16384,9,Arnoldi,7.817733491935134e-15,0.013963985443115234
845,16384,10,Lanzcos,1.8269945314732947e-14,0.008771896362304688
846,16384,20,Scipy,0.0,0.003988981246948242
847,16384,30,Arnoldi,7.817733491935134e-15,0.08348045349121094
848,16384,40,Lanzcos,1.8269945314732947e-14,0.043190598487854004
849,16384,50,Scipy,0.0,0.003988981246948242
850,16384,60,Arnoldi,7.817733491935134e-15,0.2784614324569702
851,16384,70,Lanzcos,7.936780291870546e-15,0.07859902381896973
852,16384,80,Scipy,0.0,0.003988981246948242
853,16384,90,Arnoldi,7.817733491935134e-15,0.5983058691024781
854,16384,100,Lanzcos,7.936780291870546e-15,0.1370309352874756
855,32768,1,Scipy,0.0,0.007959127426147461
856,32768,2,Arnoldi,1.0475147889885002e-14,0.005287790298461914
857,32768,3,Lanzcos,1.3445927110229792e-14,0.005884552001953125
858,32768,4,Scipy,0.0,0.007959127426147461
859,32768,5,Arnoldi,1.0475054797059914e-14,0.012073493003845215
860,32768,6,Lanzcos,1.899657193261946e-14,0.01187293529510498
861,32768,7,Scipy,0.0,0.007959127426147461
862,32768,8,Arnoldi,1.0475054797059914e-14,0.021246123313903808
863,32768,9,Lanzcos,1.899657193261946e-14,0.01884329319000244
864,32768,10,Scipy,0.0,0.007959127426147461
865,32768,20,Arnoldi,1.0475054797059914e-14,0.0887636661529541
866,32768,30,Lanzcos,1.899657193261946e-14,0.0865666389465332
867,32768,40,Scipy,0.0,0.007959127426147461
868,32768,50,Arnoldi,1.0475054797059914e-14,0.4440119743347168
869,32768,60,Lanzcos,1.430751344490284e-14,0.1613994598388672
870,32768,70,Scipy,0.0,0.007959127426147461
871,32768,80,Arnoldi,1.0475054797059914e-14,0.9264366149902343
872,32768,90,Lanzcos,1.899657193261946e-14,0.25214908123016355
873,32768,100,Scipy,0.0,0.007959127426147461
874,32768,1,Arnoldi,1.1886474074974238e-07,0.0024935007095336914
875,32768,2,Lanzcos,1.3445927062565025e-14,0.0038896799087524414
876,32768,3,Scipy,0.0,0.007959127426147461
877,32768,4,Arnoldi,1.0475054797059914e-14,0.008879303932189941
878,32768,5,Lanzcos,1.430751344490284e-14,0.00818173885345459
879,32768,6,Scipy,0.0,0.007959127426147461
880,32768,7,Arnoldi,1.0475054797059914e-14,0.017573332786560057
881,32768,8,Lanzcos,1.899657193261946e-14,0.014463543891906738
882,32768,9,Scipy,0.0,0.007959127426147461
883,32768,10,Arnoldi,1.0475054797059914e-14,0.02812521457672119
884,32768,20,Lanzcos,1.899657193261946e-14,0.043511581420898435
885,32768,30,Scipy,0.0,0.007959127426147461
886,32768,40,Arnoldi,1.0475054797059914e-14,0.25672528743743894
887,32768,50,Lanzcos,1.899657193261946e-14,0.14741806983947753
888,32768,60,Scipy,0.0,0.007959127426147461
889,32768,70,Arnoldi,1.0475054797059914e-14,0.7593754291534424
890,32768,80,Lanzcos,1.899657193261946e-14,0.23261573314666747
891,32768,90,Scipy,0.0,0.007959127426147461
892,32768,100,Arnoldi,1.0475054797059914e-14,1.468776774406433
893,32768,1,Lanzcos,1.0852401791884425e-07,0.0032910823822021483
894,32768,2,Scipy,0.0,0.007959127426147461
895,32768,3,Arnoldi,1.0475054797059914e-14,0.007184791564941406
896,32768,4,Lanzcos,1.430751344490284e-14,0.006585502624511718
897,32768,5,Scipy,0.0,0.007959127426147461
898,32768,6,Arnoldi,1.0475054797059914e-14,0.014277219772338867
899,32768,7,Lanzcos,1.430751344490284e-14,0.011873245239257812
900,32768,8,Scipy,0.0,0.007959127426147461
901,32768,9,Arnoldi,1.0475054797059914e-14,0.023738980293273926
902,32768,10,Lanzcos,1.430751344490284e-14,0.017955923080444337
903,32768,20,Scipy,0.0,0.007959127426147461
904,32768,30,Arnoldi,1.0475054797059914e-14,0.15549039840698242
905,32768,40,Lanzcos,1.430751344490284e-14,0.11150162220001221
906,32768,50,Scipy,0.0,0.007959127426147461
907,32768,60,Arnoldi,1.0475054797059914e-14,0.6297184467315674
908,32768,70,Lanzcos,1.899657193261946e-14,0.2098400115966797
909,32768,80,Scipy,0.0,0.007959127426147461
910,32768,90,Arnoldi,1.0475054797059914e-14,1.2633212566375733
911,32768,100,Lanzcos,1.899657193261946e-14,0.32692291736602785
912,65536,1,Scipy,0.0,0.018970727920532227
913,65536,2,Arnoldi,1.428585623076451e-14,0.008082723617553711
914,65536,3,Lanzcos,1.450106939584463e-14,0.008675479888916015
915,65536,4,Scipy,0.0,0.018970727920532227
916,65536,5,Arnoldi,1.4285856204898147e-14,0.019453549385070802
917,65536,6,Lanzcos,1.5937362254576948e-14,0.020546221733093263
918,65536,7,Scipy,0.0,0.018970727920532227
919,65536,8,Arnoldi,1.4285856204898147e-14,0.036407470703125
920,65536,9,Lanzcos,1.5937362254576948e-14,0.03481271266937256
921,65536,10,Scipy,0.0,0.018970727920532227
922,65536,20,Arnoldi,1.4285856204898147e-14,0.1886979818344116
923,65536,30,Lanzcos,3.84929677949226e-14,0.17365424633026122
924,65536,40,Scipy,0.0,0.018970727920532227
925,65536,50,Arnoldi,1.4285856204898147e-14,1.1206003427505493
926,65536,60,Lanzcos,3.84929677949226e-14,0.41779122352600095
927,65536,70,Scipy,0.0,0.018970727920532227
928,65536,80,Arnoldi,1.4285856204898147e-14,2.8057199478149415
929,65536,90,Lanzcos,1.5937362254576948e-14,0.6244750261306763
930,65536,100,Scipy,0.0,0.018970727920532227
931,65536,1,Arnoldi,4.1986198742210985e-08,0.0054852962493896484
932,65536,2,Lanzcos,1.4501069396129613e-14,0.006883931159973144
933,65536,3,Scipy,0.0,0.018970727920532227
934,65536,4,Arnoldi,1.4285856204898147e-14,0.016261577606201172
935,65536,5,Lanzcos,1.5937362254576948e-14,0.01835007667541504
936,65536,6,Scipy,0.0,0.018970727920532227
937,65536,7,Arnoldi,1.4285856204898147e-14,0.03390977382659912
938,65536,8,Lanzcos,1.5937362254576948e-14,0.03430593013763428
939,65536,9,Scipy,0.0,0.018970727920532227
940,65536,10,Arnoldi,1.4285856204898147e-14,0.06243889331817627
941,65536,20,Lanzcos,1.5937362254576948e-14,0.11439967155456543
942,65536,30,Scipy,0.0,0.018970727920532227
943,65536,40,Arnoldi,1.4285856204898147e-14,0.6689321041107178
944,65536,50,Lanzcos,1.5937362254576948e-14,0.3099774599075317
945,65536,60,Scipy,0.0,0.018970727920532227
946,65536,70,Arnoldi,1.4285856204898147e-14,1.9782277584075927
947,65536,80,Lanzcos,1.5937362254576948e-14,0.5148855686187744
948,65536,90,Scipy,0.0,0.018970727920532227
949,65536,100,Arnoldi,1.4285856204898147e-14,3.99169180393219
950,65536,1,Lanzcos,3.8340547354035675e-08,0.004287981986999511
951,65536,2,Scipy,0.0,0.018970727920532227
952,65536,3,Arnoldi,1.4285856204898147e-14,0.012070226669311523
953,65536,4,Lanzcos,1.5937362254576948e-14,0.01206972599029541
954,65536,5,Scipy,0.0,0.018970727920532227
955,65536,6,Arnoldi,1.4285856204898147e-14,0.02433319091796875
956,65536,7,Lanzcos,1.5937362254576948e-14,0.024434781074523924
957,65536,8,Scipy,0.0,0.018970727920532227
958,65536,9,Arnoldi,1.4285856204898147e-14,0.04647989273071289
959,65536,10,Lanzcos,1.5937362254576948e-14,0.039794540405273436
960,65536,20,Scipy,0.0,0.018970727920532227
961,65536,30,Arnoldi,1.4285856204898147e-14,0.37539308071136473
962,65536,40,Lanzcos,1.5937362254576948e-14,0.23330776691436766
963,65536,50,Scipy,0.0,0.018970727920532227
964,65536,60,Arnoldi,1.4285856204898147e-14,1.4687800407409668
965,65536,70,Lanzcos,1.5937362254576948e-14,0.43397319316864014
966,65536,80,Scipy,0.0,0.018970727920532227
967,65536,90,Arnoldi,1.4285856204898147e-14,3.251642107963562
968,65536,100,Lanzcos,1.5937362254576948e-14,0.6684621810913086
969,131072,1,Scipy,0.0,0.034906864166259766
970,131072,2,Arnoldi,2.1168783425254155e-14,0.01685161590576172
971,131072,3,Lanzcos,5.1055278351763355e-14,0.024247002601623536
972,131072,4,Scipy,0.0,0.034906864166259766
973,131072,5,Arnoldi,2.1168783425241136e-14,0.04608421325683594
974,131072,6,Lanzcos,5.200959402087121e-14,0.057953286170959475
975,131072,7,Scipy,0.0,0.034906864166259766
976,131072,8,Arnoldi,2.1168783425241136e-14,0.09396026134490967
977,131072,9,Lanzcos,5.200959402087121e-14,0.09625017642974854
978,131072,10,Scipy,0.0,0.034906864166259766
979,131072,20,Arnoldi,2.1168783425241136e-14,0.5061554431915283
980,131072,30,Lanzcos,2.3599134493135386e-14,0.4503025531768799
981,131072,40,Scipy,0.0,0.034906864166259766
982,131072,50,Arnoldi,2.1168783425241136e-14,3.1474939823150634
983,131072,60,Lanzcos,5.200959402087121e-14,0.9769911289215087
984,131072,70,Scipy,0.0,0.034906864166259766
985,131072,80,Arnoldi,2.1168783425241136e-14,8.157208371162415
986,131072,90,Lanzcos,2.3599134493135386e-14,1.5322534799575807
987,131072,100,Scipy,0.0,0.034906864166259766
988,131072,1,Arnoldi,1.4893768474221523e-08,0.00887918472290039
989,131072,2,Lanzcos,5.1055278351763355e-14,0.01626167297363281
990,131072,3,Scipy,0.0,0.034906864166259766
991,131072,4,Arnoldi,2.1168783425241136e-14,0.03510630130767822
992,131072,5,Lanzcos,5.200959402087121e-14,0.046170520782470706
993,131072,6,Scipy,0.0,0.034906864166259766
994,131072,7,Arnoldi,2.1168783425241136e-14,0.07899107933044433
995,131072,8,Lanzcos,5.200959402087121e-14,0.0815847635269165
996,131072,9,Scipy,0.0,0.034906864166259766
997,131072,10,Arnoldi,2.1168783425241136e-14,0.14502334594726562
998,131072,20,Lanzcos,2.3599134493135386e-14,0.269486141204834
999,131072,30,Scipy,0.0,0.034906864166259766
1000,131072,40,Arnoldi,2.1168783425241136e-14,1.9843089580535889
1001,131072,50,Lanzcos,5.200959402087121e-14,0.8004876136779785
1002,131072,60,Scipy,0.0,0.034906864166259766
1003,131072,70,Arnoldi,2.1168783425241136e-14,6.149380159378052
1004,131072,80,Lanzcos,2.3599134493135386e-14,1.3611013889312744
1005,131072,90,Scipy,0.0,0.034906864166259766
1006,131072,100,Arnoldi,2.1168783425241136e-14,12.742069220542907
1007,131072,1,Lanzcos,1.3598566724362419e-08,0.009576797485351562
1008,131072,2,Scipy,0.0,0.034906864166259766
1009,131072,3,Arnoldi,2.1168783425241136e-14,0.025023889541625977
1010,131072,4,Lanzcos,2.3599134493135386e-14,0.03291256427764892
1011,131072,5,Scipy,0.0,0.034906864166259766
1012,131072,6,Arnoldi,2.1168783425241136e-14,0.06224184036254883
1013,131072,7,Lanzcos,2.3599134493135386e-14,0.06881964206695557
1014,131072,8,Scipy,0.0,0.034906864166259766
